Participants	Duration..in.seconds.	Attention.check	Q3	Q4	Q5	Set_News	Type	Number	Accurate	Interesting	Order	Share
135	146	1	1	19	2	FL_417	FN	1	1	7	B	1
137	232	1	1	30	5	FL_417	FN	1	3	4	E	3
141	212	1	1	30	5	FL_417	FN	1	2	2	E	1
148	172	1	1	29	6	FL_417	FN	1	2	4	B	4
150	249	1	1	19	3	FL_417	FN	1	3	4	A	2
159	521	1	1	34	4	FL_417	FN	1	1	6	B	1
163	572	1	2	57	2	FL_417	FN	1	1	4	C	1
164	275	1	2	37	5	FL_417	FN	1	1	3	C	1
165	359	1	1	38	4	FL_417	FN	1	2	5	E	1
170	479	1	2	39	5	FL_417	FN	1	2	3	E	3
175	178	1	1	18	3	FL_417	FN	1	1	5	E	1
177	597	1	2	42	6	FL_417	FN	1	3	6	E	5
178	304	1	1	37	5	FL_417	FN	1	3	6	C	1
183	308	1	2	50	5	FL_417	FN	1	1	2	D	1
184	289	1	2	38	6	FL_417	FN	1	1	1	B	1
187	225	1	2	29	5	FL_417	FN	1	2	5	A	2
189	240	1	2	41	5	FL_417	FN	1	3	4	E	4
191	268	1	1	24	5	FL_417	FN	1	3	6	D	5
192	334	1	2	63	5	FL_417	FN	1	1	6	E	1
193	193	1	2	32	5	FL_417	FN	1	2	3	C	3
204	227	1	1	34	5	FL_417	FN	1	3	6	C	5
205	185	1	2	36	3	FL_417	FN	1	4	6	E	1
211	183	1	1	37	5	FL_417	FN	1	2	6	C	1
213	340	1	2	69	5	FL_417	FN	1	2	6	B	4
223	194	1	1	19	3	FL_417	FN	1	1	7	E	4
228	175	1	1	22	3	FL_417	FN	1	1	5	A	4
229	167	1	2	58	3	FL_417	FN	1	1	3	E	1
230	322	1	2	50	5	FL_417	FN	1	1	2	E	1
231	151	1	2	35	5	FL_417	FN	1	2	4	A	5
234	241	1	1	32	3	FL_417	FN	1	1	1	B	1
237	299	1	3	22	1	FL_417	FN	1	2	5	E	3
243	188	1	2	24	5	FL_417	FN	1	1	5	C	1
244	495	1	2	67	6	FL_417	FN	1	1	2	B	1
247	342	1	1	22	5	FL_417	FN	1	3	6	A	5
252	336	1	3	19	2	FL_417	FN	1	1	5	A	2
256	286	1	2	22	5	FL_417	FN	1	2	6	B	1
257	378	1	2	49	3	FL_417	FN	1	2	6	A	6
259	240	1	1	30	3	FL_417	FN	1	3	6	C	5
260	218	1	1	23	5	FL_417	FN	1	2	4	C	2
261	327	1	2	23	5	FL_417	FN	1	1	5	B	1
262	579	1	2	23	3	FL_417	FN	1	1	4	B	1
266	338	1	1	21	3	FL_417	FN	1	1	6	B	3
267	402	1	2	25	5	FL_417	FN	1	1	4	D	1
268	147	1	1	32	6	FL_417	FN	1	1	7	D	1
270	314	1	1	34	5	FL_417	FN	1	3	4	E	3
274	520	1	2	56	6	FL_417	FN	1	2	6	A	1
281	590	1	2	40	2	FL_417	FN	1	3	4	C	4
283	546	1	2	46	6	FL_417	FN	1	3	5	C	1
284	521	1	1	29	5	FL_417	FN	1	3	5	C	6
285	601	1	1	33	5	FL_417	FN	1	2	4	C	2
287	560	1	1	19	6	FL_417	FN	1	1	5	A	1
288	601	1	1	54	3	FL_417	FN	1	3	7	E	6
293	674	1	1	43	4	FL_417	FN	1	1	5	E	1
297	942	1	1	19	2	FL_417	FN	1	1	3	D	1
299	1282	1	2	34	5	FL_417	FN	1	1	7	B	1
1	198	1	2	20	2	FL_417	TN	2	4	5	D	4
5	138	1	1	21	5	FL_417	TN	2	3	5	E	1
10	374	1	1	30	5	FL_417	TN	2	4	6	D	1
12	217	1	2	19	3	FL_417	TN	2	3	4	D	1
13	269	1	2	20	4	FL_417	TN	2	3	4	A	1
15	228	1	3	20	3	FL_417	TN	2	4	2	E	2
16	260	1	2	51	5	FL_417	TN	2	3	2	E	1
24	371	1	2	67	6	FL_417	TN	2	2	3	D	1
27	367	1	2	40	5	FL_417	TN	2	4	6	E	3
31	378	1	2	37	3	FL_417	TN	2	3	5	E	1
32	278	1	1	18	2	FL_417	TN	2	1	4	C	1
36	212	1	1	32	5	FL_417	TN	2	3	3	D	1
37	340	1	1	50	4	FL_417	TN	2	1	3	D	2
40	502	1	1	33	2	FL_417	TN	2	3	4	B	1
41	246	1	1	27	5	FL_417	TN	2	3	5	E	2
43	206	1	2	25	5	FL_417	TN	2	1	1	D	1
50	261	1	1	31	5	FL_417	TN	2	3	5	A	4
52	91	1	2	20	3	FL_417	TN	2	2	1	C	3
53	294	1	2	18	2	FL_417	TN	2	2	2	A	2
58	410	1	2	31	3	FL_417	TN	2	1	1	E	1
60	102	1	1	27	6	FL_417	TN	2	4	7	D	6
61	210	1	1	33	2	FL_417	TN	2	2	2	E	2
63	219	1	1	38	5	FL_417	TN	2	4	5	D	4
71	337	1	2	23	5	FL_417	TN	2	2	4	D	2
73	193	1	2	27	5	FL_417	TN	2	4	5	E	1
75	204	1	1	24	2	FL_417	TN	2	4	7	E	6
78	262	1	3	35	3	FL_417	TN	2	3	5	A	6
83	228	1	2	18	3	FL_417	TN	2	4	5	B	4
91	157	1	1	38	5	FL_417	TN	2	3	4	C	1
93	351	1	1	43	3	FL_417	TN	2	4	5	C	6
99	353	1	1	23	4	FL_417	TN	2	3	6	B	1
102	244	1	2	53	4	FL_417	TN	2	2	3	A	2
105	271	1	2	36	6	FL_417	TN	2	4	5	B	1
107	317	1	2	20	3	FL_417	TN	2	2	5	B	5
112	153	1	2	24	5	FL_417	TN	2	3	5	B	3
113	951	1	1	18	2	FL_417	TN	2	4	5	E	5
117	557	1	2	66	4	FL_417	TN	2	3	2	A	2
118	429	1	2	23	4	FL_417	TN	2	2	3	E	2
119	266	1	2	47	3	FL_417	TN	2	4	2	E	1
120	191	1	2	41	2	FL_417	TN	2	1	4	E	1
122	552	1	2	39	3	FL_417	TN	2	3	4	E	3
123	195	1	2	46	6	FL_417	TN	2	3	5	D	3
129	233	1	2	46	5	FL_417	TN	2	4	6	C	3
132	780	1	2	18	2	FL_417	TN	2	3	2	D	3
133	224	1	1	18	2	FL_417	TN	2	3	2	D	1
134	209	1	1	22	2	FL_417	TN	2	1	2	D	2
135	146	1	1	19	2	FL_417	TN	2	4	4	E	1
137	232	1	1	30	5	FL_417	TN	2	4	2	A	3
141	212	1	1	30	5	FL_417	TN	2	4	4	C	2
148	172	1	1	29	6	FL_417	TN	2	3	5	E	5
150	249	1	1	19	3	FL_417	TN	2	4	5	D	3
159	521	1	1	34	4	FL_417	TN	2	3	4	D	3
163	572	1	2	57	2	FL_417	TN	2	1	4	D	1
164	275	1	2	37	5	FL_417	TN	2	4	6	D	5
165	359	1	1	38	4	FL_417	TN	2	3	4	A	2
170	479	1	2	39	5	FL_417	TN	2	2	4	C	3
175	178	1	1	18	3	FL_417	TN	2	2	4	E	1
177	597	1	2	42	6	FL_417	TN	2	2	6	E	5
178	304	1	1	37	5	FL_417	TN	2	4	5	A	1
183	308	1	2	50	5	FL_417	TN	2	4	3	D	1
184	289	1	2	38	6	FL_417	TN	2	4	7	E	6
187	225	1	2	29	5	FL_417	TN	2	1	4	D	1
189	240	1	2	41	5	FL_417	TN	2	2	3	B	2
191	268	1	1	24	5	FL_417	TN	2	4	6	B	4
192	334	1	2	63	5	FL_417	TN	2	4	6	C	4
193	193	1	2	32	5	FL_417	TN	2	3	3	E	4
204	227	1	1	34	5	FL_417	TN	2	4	6	B	5
205	185	1	2	36	3	FL_417	TN	2	4	4	C	2
211	183	1	1	37	5	FL_417	TN	2	4	5	C	1
213	340	1	2	69	5	FL_417	TN	2	4	6	C	3
223	194	1	1	19	3	FL_417	TN	2	3	5	E	5
228	175	1	1	22	3	FL_417	TN	2	3	5	A	4
229	167	1	2	58	3	FL_417	TN	2	4	6	E	6
230	322	1	2	50	5	FL_417	TN	2	3	5	E	3
231	151	1	2	35	5	FL_417	TN	2	3	4	E	2
234	241	1	1	32	3	FL_417	TN	2	1	1	E	1
237	299	1	3	22	1	FL_417	TN	2	4	4	E	4
243	188	1	2	24	5	FL_417	TN	2	3	6	D	4
244	495	1	2	67	6	FL_417	TN	2	3	4	C	4
247	342	1	1	22	5	FL_417	TN	2	3	6	C	5
252	336	1	3	19	2	FL_417	TN	2	4	4	C	4
256	286	1	2	22	5	FL_417	TN	2	4	4	E	1
257	378	1	2	49	3	FL_417	TN	2	1	7	A	6
259	240	1	1	30	3	FL_417	TN	2	4	7	E	5
260	218	1	1	23	5	FL_417	TN	2	3	4	D	2
261	327	1	2	23	5	FL_417	TN	2	4	5	E	1
262	579	1	2	23	3	FL_417	TN	2	1	2	E	1
266	338	1	1	21	3	FL_417	TN	2	4	4	C	5
267	402	1	2	25	5	FL_417	TN	2	3	4	D	1
268	147	1	1	32	6	FL_417	TN	2	4	5	D	1
270	314	1	1	34	5	FL_417	TN	2	2	1	E	2
274	520	1	2	56	6	FL_417	TN	2	1	1	D	1
281	590	1	2	40	2	FL_417	TN	2	3	5	A	4
283	546	1	2	46	6	FL_417	TN	2	4	5	E	1
284	521	1	1	29	5	FL_417	TN	2	2	2	B	5
285	601	1	1	33	5	FL_417	TN	2	3	4	E	2
287	560	1	1	19	6	FL_417	TN	2	2	4	C	2
288	601	1	1	54	3	FL_417	TN	2	4	6	C	6
293	674	1	1	43	4	FL_417	TN	2	3	2	C	1
297	942	1	1	19	2	FL_417	TN	2	4	5	D	4
299	1282	1	2	34	5	FL_417	TN	2	4	5	C	3
1	198	1	2	20	2	FL_417	FN	10	1	4	F	3
5	138	1	1	21	5	FL_417	FN	10	2	6	E	1
10	374	1	1	30	5	FL_417	FN	10	1	1	C	1
12	217	1	2	19	3	FL_417	FN	10	1	4	E	1
13	269	1	2	20	4	FL_417	FN	10	3	7	D	3
15	228	1	3	20	3	FL_417	FN	10	1	4	B	1
16	260	1	2	51	5	FL_417	FN	10	2	4	E	1
24	371	1	2	67	6	FL_417	FN	10	3	6	C	4
27	367	1	2	40	5	FL_417	FN	10	2	7	D	5
31	378	1	2	37	3	FL_417	FN	10	3	4	A	2
32	278	1	1	18	2	FL_417	FN	10	1	6	B	6
36	212	1	1	32	5	FL_417	FN	10	2	7	D	6
37	340	1	1	50	4	FL_417	FN	10	2	4	A	2
40	502	1	1	33	2	FL_417	FN	10	2	6	C	1
41	246	1	1	27	5	FL_417	FN	10	2	7	E	5
43	206	1	2	25	5	FL_417	FN	10	2	2	D	2
50	261	1	1	31	5	FL_417	FN	10	1	7	A	1
52	91	1	2	20	3	FL_417	FN	10	1	6	C	1
53	294	1	2	18	2	FL_417	FN	10	1	6	E	5
58	410	1	2	31	3	FL_417	FN	10	1	4	D	1
60	102	1	1	27	6	FL_417	FN	10	4	5	E	4
61	210	1	1	33	2	FL_417	FN	10	3	2	D	2
63	219	1	1	38	5	FL_417	FN	10	2	5	D	4
71	337	1	2	23	5	FL_417	FN	10	2	7	B	1
73	193	1	2	27	5	FL_417	FN	10	1	5	D	1
75	204	1	1	24	2	FL_417	FN	10	4	7	D	6
78	262	1	3	35	3	FL_417	FN	10	2	7	E	3
83	228	1	2	18	3	FL_417	FN	10	1	5	E	2
91	157	1	1	38	5	FL_417	FN	10	1	3	E	1
93	351	1	1	43	3	FL_417	FN	10	1	5	D	1
99	353	1	1	23	4	FL_417	FN	10	1	7	B	1
102	244	1	2	53	4	FL_417	FN	10	4	7	D	5
105	271	1	2	36	6	FL_417	FN	10	1	4	E	1
107	317	1	2	20	3	FL_417	FN	10	3	5	A	5
112	153	1	2	24	5	FL_417	FN	10	2	7	C	2
113	951	1	1	18	2	FL_417	FN	10	3	5	C	5
117	557	1	2	66	4	FL_417	FN	10	3	5	A	3
118	429	1	2	23	4	FL_417	FN	10	2	3	E	4
119	266	1	2	47	3	FL_417	FN	10	1	2	C	1
120	191	1	2	41	2	FL_417	FN	10	1	5	A	1
122	552	1	2	39	3	FL_417	FN	10	1	6	C	1
123	195	1	2	46	6	FL_417	FN	10	1	5	B	1
129	233	1	2	46	5	FL_417	FN	10	3	6	E	4
132	780	1	2	18	2	FL_417	FN	10	4	7	B	6
133	224	1	1	18	2	FL_417	FN	10	1	1	D	1
134	209	1	1	22	2	FL_417	FN	10	1	2	C	1
135	146	1	1	19	2	FL_417	FN	10	1	7	E	1
137	232	1	1	30	5	FL_417	FN	10	1	4	E	1
141	212	1	1	30	5	FL_417	FN	10	1	7	C	1
148	172	1	1	29	6	FL_417	FN	10	1	7	B	2
150	249	1	1	19	3	FL_417	FN	10	1	5	E	2
159	521	1	1	34	4	FL_417	FN	10	1	7	C	1
163	572	1	2	57	2	FL_417	FN	10	1	6	E	1
164	275	1	2	37	5	FL_417	FN	10	1	4	E	1
165	359	1	1	38	4	FL_417	FN	10	3	7	A	2
170	479	1	2	39	5	FL_417	FN	10	3	6	A	4
175	178	1	1	18	3	FL_417	FN	10	1	7	B	1
177	597	1	2	42	6	FL_417	FN	10	2	6	B	3
178	304	1	1	37	5	FL_417	FN	10	1	5	E	1
183	308	1	2	50	5	FL_417	FN	10	1	4	E	1
184	289	1	2	38	6	FL_417	FN	10	1	1	E	1
187	225	1	2	29	5	FL_417	FN	10	1	6	E	1
189	240	1	2	41	5	FL_417	FN	10	3	6	A	2
191	268	1	1	24	5	FL_417	FN	10	1	7	E	6
192	334	1	2	63	5	FL_417	FN	10	1	7	E	1
193	193	1	2	32	5	FL_417	FN	10	3	5	C	4
204	227	1	1	34	5	FL_417	FN	10	1	4	E	1
205	185	1	2	36	3	FL_417	FN	10	3	5	B	1
211	183	1	1	37	5	FL_417	FN	10	1	5	E	1
213	340	1	2	69	5	FL_417	FN	10	1	5	C	1
223	194	1	1	19	3	FL_417	FN	10	4	6	A	6
228	175	1	1	22	3	FL_417	FN	10	1	6	A	1
229	167	1	2	58	3	FL_417	FN	10	1	4	E	1
230	322	1	2	50	5	FL_417	FN	10	1	5	A	1
231	151	1	2	35	5	FL_417	FN	10	3	5	E	5
234	241	1	1	32	3	FL_417	FN	10	1	1	E	1
237	299	1	3	22	1	FL_417	FN	10	1	5	C	1
243	188	1	2	24	5	FL_417	FN	10	1	7	E	1
244	495	1	2	67	6	FL_417	FN	10	3	7	E	4
247	342	1	1	22	5	FL_417	FN	10	3	5	E	5
252	336	1	3	19	2	FL_417	FN	10	1	7	D	3
256	286	1	2	22	5	FL_417	FN	10	2	4	C	1
257	378	1	2	49	3	FL_417	FN	10	1	7	E	6
259	240	1	1	30	3	FL_417	FN	10	4	7	C	6
260	218	1	1	23	5	FL_417	FN	10	1	7	E	2
261	327	1	2	23	5	FL_417	FN	10	1	7	C	1
262	579	1	2	23	3	FL_417	FN	10	4	6	D	3
266	338	1	1	21	3	FL_417	FN	10	1	5	E	3
267	402	1	2	25	5	FL_417	FN	10	1	6	D	1
268	147	1	1	32	6	FL_417	FN	10	1	7	A	1
270	314	1	1	34	5	FL_417	FN	10	1	1	E	1
274	520	1	2	56	6	FL_417	FN	10	3	3	C	1
281	590	1	2	40	2	FL_417	FN	10	2	7	C	3
283	546	1	2	46	6	FL_417	FN	10	1	6	E	1
284	521	1	1	29	5	FL_417	FN	10	3	5	E	6
285	601	1	1	33	5	FL_417	FN	10	2	6	B	2
287	560	1	1	19	6	FL_417	FN	10	2	7	C	2
288	601	1	1	54	3	FL_417	FN	10	3	7	A	6
293	674	1	1	43	4	FL_417	FN	10	1	1	E	1
297	942	1	1	19	2	FL_417	FN	10	1	3	A	1
299	1282	1	2	34	5	FL_417	FN	10	1	7	A	1
1	198	1	2	20	2	FL_417	FN	7	3	2	D	2
5	138	1	1	21	5	FL_417	FN	7	1	6	B	1
10	374	1	1	30	5	FL_417	FN	7	1	4	A	1
12	217	1	2	19	3	FL_417	FN	7	2	3	C	2
13	269	1	2	20	4	FL_417	FN	7	3	1	D	1
15	228	1	3	20	3	FL_417	FN	7	2	4	A	2
16	260	1	2	51	5	FL_417	FN	7	2	5	D	1
24	371	1	2	67	6	FL_417	FN	7	3	7	B	5
27	367	1	2	40	5	FL_417	FN	7	3	5	A	4
31	378	1	2	37	3	FL_417	FN	7	2	3	A	2
32	278	1	1	18	2	FL_417	FN	7	1	6	D	5
36	212	1	1	32	5	FL_417	FN	7	2	6	A	5
37	340	1	1	50	4	FL_417	FN	7	1	3	B	3
40	502	1	1	33	2	FL_417	FN	7	2	5	C	1
41	246	1	1	27	5	FL_417	FN	7	2	6	D	4
43	206	1	2	25	5	FL_417	FN	7	2	1	E	1
50	261	1	1	31	5	FL_417	FN	7	2	6	E	1
52	91	1	2	20	3	FL_417	FN	7	3	5	E	5
53	294	1	2	18	2	FL_417	FN	7	2	3	B	3
58	410	1	2	31	3	FL_417	FN	7	3	5	A	2
60	102	1	1	27	6	FL_417	FN	7	2	3	C	2
61	210	1	1	33	2	FL_417	FN	7	2	2	C	2
63	219	1	1	38	5	FL_417	FN	7	2	5	B	5
71	337	1	2	23	5	FL_417	FN	7	1	6	D	1
73	193	1	2	27	5	FL_417	FN	7	2	3	D	1
75	204	1	1	24	2	FL_417	FN	7	4	6	E	2
78	262	1	3	35	3	FL_417	FN	7	2	4	C	3
83	228	1	2	18	3	FL_417	FN	7	2	6	E	6
91	157	1	1	38	5	FL_417	FN	7	1	3	E	1
93	351	1	1	43	3	FL_417	FN	7	4	4	A	5
99	353	1	1	23	4	FL_417	FN	7	2	6	E	1
102	244	1	2	53	4	FL_417	FN	7	2	5	B	6
105	271	1	2	36	6	FL_417	FN	7	1	5	A	1
107	317	1	2	20	3	FL_417	FN	7	1	4	D	4
112	153	1	2	24	5	FL_417	FN	7	3	4	B	4
113	951	1	1	18	2	FL_417	FN	7	4	4	E	5
117	557	1	2	66	4	FL_417	FN	7	3	5	A	2
118	429	1	2	23	4	FL_417	FN	7	3	4	E	4
119	266	1	2	47	3	FL_417	FN	7	2	6	A	5
120	191	1	2	41	2	FL_417	FN	7	1	4	E	1
122	552	1	2	39	3	FL_417	FN	7	1	7	A	1
123	195	1	2	46	6	FL_417	FN	7	1	7	C	3
129	233	1	2	46	5	FL_417	FN	7	1	3	E	1
132	780	1	2	18	2	FL_417	FN	7	2	4	B	4
133	224	1	1	18	2	FL_417	FN	7	3	1	B	1
134	209	1	1	22	2	FL_417	FN	7	3	4	E	4
135	146	1	1	19	2	FL_417	FN	7	2	5	A	1
137	232	1	1	30	5	FL_417	FN	7	1	7	D	1
141	212	1	1	30	5	FL_417	FN	7	1	5	D	1
148	172	1	1	29	6	FL_417	FN	7	1	4	A	2
150	249	1	1	19	3	FL_417	FN	7	2	5	B	2
159	521	1	1	34	4	FL_417	FN	7	1	2	D	3
163	572	1	2	57	2	FL_417	FN	7	1	5	C	1
164	275	1	2	37	5	FL_417	FN	7	1	5	B	1
165	359	1	1	38	4	FL_417	FN	7	2	5	B	2
170	479	1	2	39	5	FL_417	FN	7	2	4	C	2
175	178	1	1	18	3	FL_417	FN	7	3	3	B	1
177	597	1	2	42	6	FL_417	FN	7	2	5	A	5
178	304	1	1	37	5	FL_417	FN	7	1	3	E	1
183	308	1	2	50	5	FL_417	FN	7	1	2	C	1
184	289	1	2	38	6	FL_417	FN	7	1	1	C	1
187	225	1	2	29	5	FL_417	FN	7	2	2	E	1
189	240	1	2	41	5	FL_417	FN	7	2	6	E	3
191	268	1	1	24	5	FL_417	FN	7	1	6	E	5
192	334	1	2	63	5	FL_417	FN	7	1	7	D	1
193	193	1	2	32	5	FL_417	FN	7	1	5	A	3
204	227	1	1	34	5	FL_417	FN	7	2	2	C	1
205	185	1	2	36	3	FL_417	FN	7	2	4	E	1
211	183	1	1	37	5	FL_417	FN	7	2	3	A	1
213	340	1	2	69	5	FL_417	FN	7	2	6	B	4
223	194	1	1	19	3	FL_417	FN	7	1	6	E	5
228	175	1	1	22	3	FL_417	FN	7	1	5	E	1
229	167	1	2	58	3	FL_417	FN	7	1	1	A	1
230	322	1	2	50	5	FL_417	FN	7	2	5	A	2
231	151	1	2	35	5	FL_417	FN	7	1	1	D	1
234	241	1	1	32	3	FL_417	FN	7	1	1	B	1
237	299	1	3	22	1	FL_417	FN	7	3	4	A	4
243	188	1	2	24	5	FL_417	FN	7	1	6	E	1
244	495	1	2	67	6	FL_417	FN	7	1	2	D	3
247	342	1	1	22	5	FL_417	FN	7	3	6	A	5
252	336	1	3	19	2	FL_417	FN	7	3	6	A	5
256	286	1	2	22	5	FL_417	FN	7	2	3	B	1
257	378	1	2	49	3	FL_417	FN	7	2	7	A	6
259	240	1	1	30	3	FL_417	FN	7	3	4	A	4
260	218	1	1	23	5	FL_417	FN	7	2	3	E	3
261	327	1	2	23	5	FL_417	FN	7	2	5	C	1
262	579	1	2	23	3	FL_417	FN	7	1	5	B	1
266	338	1	1	21	3	FL_417	FN	7	2	2	B	3
267	402	1	2	25	5	FL_417	FN	7	1	5	C	1
268	147	1	1	32	6	FL_417	FN	7	1	7	A	1
270	314	1	1	34	5	FL_417	FN	7	3	3	A	5
274	520	1	2	56	6	FL_417	FN	7	2	7	C	1
281	590	1	2	40	2	FL_417	FN	7	2	4	A	3
283	546	1	2	46	6	FL_417	FN	7	1	7	E	1
284	521	1	1	29	5	FL_417	FN	7	2	4	E	5
285	601	1	1	33	5	FL_417	FN	7	1	4	E	3
287	560	1	1	19	6	FL_417	FN	7	3	4	A	4
288	601	1	1	54	3	FL_417	FN	7	2	7	D	6
293	674	1	1	43	4	FL_417	FN	7	1	3	B	1
297	942	1	1	19	2	FL_417	FN	7	2	4	E	4
299	1282	1	2	34	5	FL_417	FN	7	1	6	B	1
1	198	1	2	20	2	FL_417	FN	2	1	5	E	5
5	138	1	1	21	5	FL_417	FN	2	2	6	B	1
10	374	1	1	30	5	FL_417	FN	2	3	5	A	1
12	217	1	2	19	3	FL_417	FN	2	1	2	A	1
13	269	1	2	20	4	FL_417	FN	2	2	3	C	1
15	228	1	3	20	3	FL_417	FN	2	1	6	E	1
16	260	1	2	51	5	FL_417	FN	2	2	3	B	1
24	371	1	2	67	6	FL_417	FN	2	2	5	E	4
27	367	1	2	40	5	FL_417	FN	2	1	6	B	4
31	378	1	2	37	3	FL_417	FN	2	3	5	E	1
32	278	1	1	18	2	FL_417	FN	2	1	4	B	1
36	212	1	1	32	5	FL_417	FN	2	2	4	E	2
37	340	1	1	50	4	FL_417	FN	2	2	2	C	2
40	502	1	1	33	2	FL_417	FN	2	1	4	E	1
41	246	1	1	27	5	FL_417	FN	2	1	6	E	4
43	206	1	2	25	5	FL_417	FN	2	2	3	A	3
50	261	1	1	31	5	FL_417	FN	2	2	6	E	2
52	91	1	2	20	3	FL_417	FN	2	1	6	C	3
53	294	1	2	18	2	FL_417	FN	2	2	5	C	2
58	410	1	2	31	3	FL_417	FN	2	1	5	E	1
60	102	1	1	27	6	FL_417	FN	2	4	7	E	6
61	210	1	1	33	2	FL_417	FN	2	2	3	E	3
63	219	1	1	38	5	FL_417	FN	2	2	4	D	5
71	337	1	2	23	5	FL_417	FN	2	1	4	A	1
73	193	1	2	27	5	FL_417	FN	2	1	4	E	1
75	204	1	1	24	2	FL_417	FN	2	4	6	D	6
78	262	1	3	35	3	FL_417	FN	2	1	6	A	1
83	228	1	2	18	3	FL_417	FN	2	2	7	E	3
91	157	1	1	38	5	FL_417	FN	2	1	2	E	1
93	351	1	1	43	3	FL_417	FN	2	1	5	B	1
99	353	1	1	23	4	FL_417	FN	2	1	6	E	1
102	244	1	2	53	4	FL_417	FN	2	2	7	E	2
105	271	1	2	36	6	FL_417	FN	2	1	1	D	1
107	317	1	2	20	3	FL_417	FN	2	2	4	D	5
112	153	1	2	24	5	FL_417	FN	2	1	5	D	3
113	951	1	1	18	2	FL_417	FN	2	1	7	D	5
117	557	1	2	66	4	FL_417	FN	2	2	4	E	2
118	429	1	2	23	4	FL_417	FN	2	2	2	E	2
119	266	1	2	47	3	FL_417	FN	2	1	5	E	4
120	191	1	2	41	2	FL_417	FN	2	1	4	D	1
122	552	1	2	39	3	FL_417	FN	2	1	7	E	3
123	195	1	2	46	6	FL_417	FN	2	1	6	E	1
129	233	1	2	46	5	FL_417	FN	2	2	4	E	2
132	780	1	2	18	2	FL_417	FN	2	2	7	B	5
133	224	1	1	18	2	FL_417	FN	2	1	1	A	1
134	209	1	1	22	2	FL_417	FN	2	4	4	D	4
135	146	1	1	19	2	FL_417	FN	2	2	4	B	1
137	232	1	1	30	5	FL_417	FN	2	1	4	D	1
141	212	1	1	30	5	FL_417	FN	2	1	7	D	1
148	172	1	1	29	6	FL_417	FN	2	1	3	E	1
150	249	1	1	19	3	FL_417	FN	2	2	5	E	2
159	521	1	1	34	4	FL_417	FN	2	1	5	C	1
163	572	1	2	57	2	FL_417	FN	2	1	6	D	1
164	275	1	2	37	5	FL_417	FN	2	1	3	A	1
165	359	1	1	38	4	FL_417	FN	2	1	4	E	1
170	479	1	2	39	5	FL_417	FN	2	2	5	D	2
175	178	1	1	18	3	FL_417	FN	2	1	7	A	1
177	597	1	2	42	6	FL_417	FN	2	2	3	C	3
178	304	1	1	37	5	FL_417	FN	2	1	6	D	1
183	308	1	2	50	5	FL_417	FN	2	2	2	E	1
184	289	1	2	38	6	FL_417	FN	2	1	1	A	1
187	225	1	2	29	5	FL_417	FN	2	1	5	E	2
189	240	1	2	41	5	FL_417	FN	2	3	5	D	4
191	268	1	1	24	5	FL_417	FN	2	1	6	D	5
192	334	1	2	63	5	FL_417	FN	2	1	5	A	1
193	193	1	2	32	5	FL_417	FN	2	2	3	E	2
204	227	1	1	34	5	FL_417	FN	2	1	2	C	1
205	185	1	2	36	3	FL_417	FN	2	3	4	D	1
211	183	1	1	37	5	FL_417	FN	2	1	3	E	1
213	340	1	2	69	5	FL_417	FN	2	1	6	E	1
223	194	1	1	19	3	FL_417	FN	2	1	4	D	4
228	175	1	1	22	3	FL_417	FN	2	2	5	E	5
229	167	1	2	58	3	FL_417	FN	2	1	1	B	1
230	322	1	2	50	5	FL_417	FN	2	1	2	E	2
231	151	1	2	35	5	FL_417	FN	2	1	5	D	1
234	241	1	1	32	3	FL_417	FN	2	1	4	C	1
237	299	1	3	22	1	FL_417	FN	2	1	6	C	1
243	188	1	2	24	5	FL_417	FN	2	1	5	B	1
244	495	1	2	67	6	FL_417	FN	2	1	3	B	1
247	342	1	1	22	5	FL_417	FN	2	3	6	B	5
252	336	1	3	19	2	FL_417	FN	2	3	6	B	3
256	286	1	2	22	5	FL_417	FN	2	2	6	E	1
257	378	1	2	49	3	FL_417	FN	2	1	7	D	6
259	240	1	1	30	3	FL_417	FN	2	2	5	B	2
260	218	1	1	23	5	FL_417	FN	2	1	7	E	4
261	327	1	2	23	5	FL_417	FN	2	1	7	A	1
262	579	1	2	23	3	FL_417	FN	2	3	6	E	4
266	338	1	1	21	3	FL_417	FN	2	2	3	B	3
267	402	1	2	25	5	FL_417	FN	2	1	3	C	1
268	147	1	1	32	6	FL_417	FN	2	1	6	A	1
270	314	1	1	34	5	FL_417	FN	2	2	4	B	1
274	520	1	2	56	6	FL_417	FN	2	1	2	D	1
281	590	1	2	40	2	FL_417	FN	2	2	5	E	4
283	546	1	2	46	6	FL_417	FN	2	1	5	E	1
284	521	1	1	29	5	FL_417	FN	2	2	7	D	6
285	601	1	1	33	5	FL_417	FN	2	2	4	E	3
287	560	1	1	19	6	FL_417	FN	2	1	7	E	1
288	601	1	1	54	3	FL_417	FN	2	3	7	A	6
293	674	1	1	43	4	FL_417	FN	2	1	6	B	1
297	942	1	1	19	2	FL_417	FN	2	2	3	B	1
299	1282	1	2	34	5	FL_417	FN	2	1	7	E	1
1	198	1	2	20	2	FL_417	TN	8	2	5	C	2
5	138	1	1	21	5	FL_417	TN	8	1	6	B	1
10	374	1	1	30	5	FL_417	TN	8	3	4	B	1
12	217	1	2	19	3	FL_417	TN	8	2	4	A	2
13	269	1	2	20	4	FL_417	TN	8	4	5	E	1
