Participants	Duration..in.seconds.	Attention.check	Q3	Q4	Q5	Set_News	Type	Number	Accurate	Interesting	Order	Share
12	217	1	2	19	3	FL_417	TN	1	3	4	E	3
13	269	1	2	20	4	FL_417	TN	1	3	6	B	3
15	228	1	3	20	3	FL_417	TN	1	3	4	A	1
16	260	1	2	51	5	FL_417	TN	1	3	2	B	1
24	371	1	2	67	6	FL_417	TN	1	3	6	E	5
27	367	1	2	40	5	FL_417	TN	1	3	6	E	5
31	378	1	2	37	3	FL_417	TN	1	3	6	E	1
32	278	1	1	18	2	FL_417	TN	1	3	6	D	6
36	212	1	1	32	5	FL_417	TN	1	3	5	E	4
37	340	1	1	50	4	FL_417	TN	1	2	4	D	3
40	502	1	1	33	2	FL_417	TN	1	3	5	A	1
41	246	1	1	27	5	FL_417	TN	1	3	5	E	2
43	206	1	2	25	5	FL_417	TN	1	2	5	C	2
50	261	1	1	31	5	FL_417	TN	1	3	4	A	3
52	91	1	2	20	3	FL_417	TN	1	4	7	A	5
53	294	1	2	18	2	FL_417	TN	1	2	6	D	4
58	410	1	2	31	3	FL_417	TN	1	3	5	C	2
60	102	1	1	27	6	FL_417	TN	1	2	4	D	4
61	210	1	1	33	2	FL_417	TN	1	2	2	B	2
63	219	1	1	38	5	FL_417	TN	1	3	3	B	4
71	337	1	2	23	5	FL_417	TN	1	2	5	E	1
73	193	1	2	27	5	FL_417	TN	1	2	5	D	1
75	204	1	1	24	2	FL_417	TN	1	3	7	E	5
78	262	1	3	35	3	FL_417	TN	1	3	5	E	5
83	228	1	2	18	3	FL_417	TN	1	2	7	E	6
91	157	1	1	38	5	FL_417	TN	1	2	2	D	1
93	351	1	1	43	3	FL_417	TN	1	4	2	E	6
99	353	1	1	23	4	FL_417	TN	1	2	7	A	1
102	244	1	2	53	4	FL_417	TN	1	3	5	E	4
105	271	1	2	36	6	FL_417	TN	1	3	2	A	1
107	317	1	2	20	3	FL_417	TN	1	2	3	A	5
112	153	1	2	24	5	FL_417	TN	1	2	5	C	2
113	951	1	1	18	2	FL_417	TN	1	4	2	B	5
117	557	1	2	66	4	FL_417	TN	1	3	6	D	4
118	429	1	2	23	4	FL_417	TN	1	2	4	A	4
119	266	1	2	47	3	FL_417	TN	1	4	3	B	1
120	191	1	2	41	2	FL_417	TN	1	3	4	D	1
122	552	1	2	39	3	FL_417	TN	1	4	5	B	3
123	195	1	2	46	6	FL_417	TN	1	3	6	D	4
